Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
102,Michael Boxall,nz NZL,DF,Minnesota Utd,33,1988,31,0,9,0,0,0.29,0,0,,11.6,0,0,0,1.3,1.3,0.14,-1.3,-1.3,Matches,6bfa0d3a
103,Michael Bradley,us USA,MF,Toronto FC,34,1987,33.9,3,15,6,40,0.44,0.18,0.2,0.5,20.3,2,0,0,1,1,0.06,2,2,Matches,fd5e3a73
104,Christopher Brady,us USA,GK,Chicago Fire,17,2004,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,a71768a2
105,Zachary Brault-Guillard,ca CAN,DF,CF Montréal,23,1998,7,4,6,4,66.7,0.86,0.57,0.67,1,14.5,0,0,0,1.2,1.2,0.2,2.8,2.8,Matches,948a58c2
106,Claudio Bravo,ar ARG,DF,Portland Timbers,24,1997,24.5,0,24,2,8.3,0.98,0.08,0,0,23.5,0,0,0,1.1,1.1,0.04,-1.1,-1.1,Matches,5619c5e8
107,Brenner,br BRA,FW,FC Cincinnati,22,2000,22.8,18,76,33,43.4,3.33,1.44,0.22,0.52,14.4,0,1,1,12.4,11.6,0.15,5.6,5.4,Matches,279508bf
108,Sebastian Breza,ca CAN,GK,CF Montréal,23,1998,23,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,52e7f812
109,Emiliano Brienza,ca CAN,FW,Vancouver,19,2002,0,0,1,0,0,30,0,0,,14.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,b54cf257
110,Andrew Brody,us USA,DF,Real Salt Lake,26,1995,32.8,2,15,8,53.3,0.46,0.24,0.13,0.25,14.9,0,0,0,1.4,1.4,0.09,0.6,0.6,Matches,33e46323
111,Brandt Bronico,us USA,MF,Charlotte,26,1995,31.2,1,22,8,36.4,0.7,0.26,0.05,0.13,19.2,0,0,0,1.7,1.7,0.08,-0.7,-0.7,Matches,bd4460b1
112,Javain Brown,jm JAM,DF,Vancouver,22,1999,20.6,1,10,2,20,0.48,0.1,0.1,0.5,16.6,0,0,0,0.8,0.8,0.08,0.2,0.2,Matches,3d14c62e
113,Gastón Brugman,uy URU,MF,LA Galaxy,29,1992,12.5,3,15,7,46.7,1.2,0.56,0.2,0.43,25.9,1,0,0,0.9,0.9,0.06,2.1,2.1,Matches,e947ee4a
114,Will Bruin,us USA,FW,Seattle,32,1989,9.6,3,20,5,25,2.07,0.52,0.15,0.6,10.7,0,0,0,2.8,2.8,0.14,0.2,0.2,Matches,87a6ac29
115,Noel Buck,us USA,MFFW,New England,16,2005,3.2,1,6,3,50,1.85,0.92,0.17,0.33,20.7,0,0,0,0.5,0.5,0.08,0.5,0.5,Matches,3d47c1ad
116,Adam Buksa,pl POL,FW,New England,25,1996,9.1,7,34,14,41.2,3.75,1.55,0.21,0.5,10.5,0,0,0,3.7,3.7,0.11,3.3,3.3,Matches,3b676989
117,Teal Bunbury,us USA,FWMF,Nashville,31,1990,7.3,5,27,12,44.4,3.72,1.65,0.19,0.42,12.4,0,0,0,3.9,3.9,0.15,1.1,1.1,Matches,3077fce8
118,Cory Burke,jm JAM,FW,Philadelphia,30,1991,13.3,7,43,17,39.5,3.24,1.28,0.16,0.41,13.4,0,0,0,5.9,5.9,0.14,1.1,1.1,Matches,39fde61c
119,Kendall Burks,us USA,DF,Chicago Fire,22,1999,2,0,2,0,0,0.99,0,0,,18,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches,38e88892
120,Handwalla Bwana,so SOM,FW,Nashville,24,1997,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,b56080ee
121,Brandon Bye,us USA,DF,New England,26,1995,28.5,2,34,9,26.5,1.19,0.32,0.06,0.22,14.6,0,0,0,3,3,0.09,-1,-1,Matches,9fcd12af
122,Nathan Byrne,eng ENG,DF,Charlotte,29,1992,3.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,c4041fbc
123,Kevin Cabral,fr FRA,FWMF,LA Galaxy,22,1999,18.7,1,35,11,31.4,1.88,0.59,0.03,0.09,13.4,0,0,0,5.3,5.3,0.15,-4.3,-4.3,Matches,42af215b
124,Martín Cáceres,uy URU,DF,LA Galaxy,34,1987,4.8,0,2,0,0,0.42,0,0,,10.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,e94d79e3
125,Deiber Caicedo,co COL,FWMF,Vancouver,21,2000,10.9,1,19,4,21.1,1.74,0.37,0.05,0.25,18.7,1,0,0,1.6,1.6,0.08,-0.6,-0.6,Matches,9bfa2f52
126,Scott Caldwell,us USA,MF,Real Salt Lake,30,1991,15.1,0,3,0,0,0.2,0,0,,20.4,0,0,0,0.4,0.4,0.14,-0.4,-0.4,Matches,4a54592d
127,Drake Callender,us USA,GK,Inter Miami,24,1997,24,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,c4d9567d
128,Alexander Callens,pe PER,DF,NYCFC,29,1992,26.5,5,25,10,40,0.94,0.38,0.2,0.5,9.8,0,0,0,4.4,4.4,0.18,0.6,0.6,Matches,af34f10d
129,Francisco Calvo,cr CRC,DF,San Jose,29,1992,13,2,15,5,33.3,1.15,0.38,0.13,0.4,15.7,0,0,0,1.7,1.7,0.12,0.3,0.3,Matches,706bd23f
130,Rudy Camacho,fr FRA,DF,CF Montréal,30,1991,27.5,1,9,2,22.2,0.33,0.07,0.11,0.5,11,0,0,0,0.8,0.8,0.09,0.2,0.2,Matches,6ad16d47
131,Geoff Cameron,us USA,DF,FC Cincinnati,36,1985,23.5,0,8,2,25,0.34,0.09,0,0,9,0,0,0,1.2,1.2,0.15,-1.2,-1.2,Matches,1a160ea3
132,Leonardo Campana,ec ECU,FW,Inter Miami,21,2000,17.6,11,54,25,46.3,3.07,1.42,0.2,0.44,13.9,0,0,0,8.4,8.4,0.15,2.6,2.6,Matches,bf9c0749
133,George Campbell,us USA,DF,Atlanta Utd,20,2001,16.4,0,8,3,37.5,0.49,0.18,0,0,11.6,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches,45e1a597
134,Russell Canouse,us USA,MF,D.C. United,26,1995,13.2,1,5,2,40,0.38,0.15,0.2,0.5,12.8,0,0,0,0.7,0.7,0.14,0.3,0.3,Matches,ec730d9a
135,Nathan Cardoso,br BRA,DF,San Jose,26,1995,25.2,3,28,6,21.4,1.11,0.24,0.11,0.5,11.1,0,0,0,2.8,2.8,0.1,0.2,0.2,Matches,d4438745
136,Antonio Carlos,br BRA,DF,Orlando City,28,1993,18.1,0,14,3,21.4,0.78,0.17,0,0,14.4,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches,949fe1e8
137,Wikelman Carmona,ve VEN,MFFW,NY Red Bulls,18,2003,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,cab97dd2
138,Julián Carranza,ar ARG,FW,Philadelphia,21,2000,24.6,14,87,32,36.8,3.54,1.3,0.14,0.38,16,2,2,3,14.1,11.8,0.14,-0.1,0.2,Matches,3e9ae1db
139,Adalberto Carrasquilla,pa PAN,MF,Houston Dynamo,23,1998,26.6,2,29,6,20.7,1.09,0.23,0.07,0.33,24.2,0,0,0,2.2,2.2,0.08,-0.2,-0.2,Matches,f087912d
